county_name,District,fips,Net spill volume (BBL),number_of_oil_spills
andrews,8,48003,935,46
crane,8,48103,682,14
culberson,8,48109,157,13
ector,8,48135,585,52
glasscock,8,48173,574,45
howard,8,48227,1163,52
hudspeth,8,48229,27,3
loving,8,48301,2778,50
martin,8,48317,1314,75
midland,8,48329,2441,120
mitchell,8,48335,51,3
pecos,8,48371,59,7
reeves,8,48389,6092,92
sterling,8,48431,16,1
ward,8,48475,623,43
winkler,8,48495,362,9
borden,8A,48033,387,4
cochran,8A,48079,104,7
dawson,8A,48115,179,3
dickens,8A,48125,158,1
gaines,8A,48165,71,6
garza,8A,48169,966,13
hockley,8A,48219,111,9
kent,8A,48263,80,1
king,8A,48269,72,2
lubbock,8A,48303,40,4
lynn,8A,48305,273,1
scurry,8A,48415,115,10
terry,8A,48445,18,4
yoakum,8A,48501,215,8
coke,7C,48081,10,1
concho,7C,48095,246,2
crockett,7C,48105,636,28
irion,7C,48235,238,12
reagan,7C,48383,2237,127
runnels,7C,48399,23,1
upton,7C,48461,2031,90
carson,10,48065,57,1
gray,10,48179,393,6
hansford,10,48195,141,5
hemphill,10,48211,196,14
hutchinson,10,48233,777,9
lipscomb,10,48295,162,8
menard,10,48327,25,1
moore,10,48341,24,3
ochiltree,10,48357,171,13
potter,10,48375,210,4
roberts,10,48393,344,8
schleicher,10,48413,25,1
sutton,10,48435,10,3
wheeler,10,48483,928,17
coleman,7B,48083,155,2
eastland,7B,48133,0,1
erath,7B,48143,9,1
hood,7B,48221,451,3
jones,7B,48253,150,2
nolan,7B,48353,252,2
palo pinto,7B,48363,47,1
shackelford,7B,48417,176,2
stephens,7B,48429,41,5
stonewall,7B,48433,15,4
taylor,7B,48441,128,3
archer,9,48009,201,4
clay,9,48077,125,2
cooke,9,48097,142,1
denton,9,48121,252,7
grayson,9,48181,319,5
hardeman,9,48197,40,3
jack,9,48237,60,3
knox,9,48275,3,1
montague,9,48337,7,1
wichita,9,48485,265,9
wilbarger,9,48487,560,1
wise,9,48497,333,8
young,9,48503,245,4
angelina,6,48005,200,1
cherokee,6,48073,101,2
harrison,6,48203,419,7
houston,6,48225,0,1
nacogdoches,6,48347,82,3
panola,6,48365,541,17
rusk,6,48401,201,9
shelby,6,48419,78,2
smith,6,48423,472,4
titus,6,48449,10,1
upshur,6,48459,372,2
wood,6,48499,25,5
collin,5,48085,641,1
freestone,5,48161,2,2
henderson,5,48213,46,2
hopkins,5,48223,4,1
johnson,5,48251,136,2
kaufman,5,48257,0,2
limestone,5,48293,10,1
duval,4,48131,219,2
hidalgo,4,48215,15,1
jim hogg,4,48247,150,1
kleberg,4,48273,1,1
nueces,4,48355,267,3
san patricio,4,48409,270,2
starr,4,48427,205,1
webb,4,48479,1426,19
willacy,4,48489,7,2
zapata,4,48505,136,2
brazoria,3,48039,25,3
brazos,3,48041,126,1
chambers,3,48071,5,2
colorado,3,48089,15,1
fort bend,3,48157,130,2
galveston,3,48167,3,1
harris,3,48201,3,1
jefferson,3,48245,0,1
madison,3,48313,8,1
matagorda,3,48321,2,1
wharton,3,48481,20,1
goliad,2,48175,40,1
jackson,2,48239,12,3
karnes,2,48255,676,11
lavaca,2,48285,108,4
live oak,2,48297,339,3
refugio,2,48391,65,8
victoria,2,48469,220,3
atascosa,1,48013,792,18
bastrop,1,48021,0,1
bexar,1,48029,105,2
caldwell,1,48055,18,3
dimmit,1,48127,25,3
frio,1,48163,494,7
gonzales,1,48177,553,15
guadalupe,1,48187,206,3
la salle,1,48283,1647,16
mason,1,48319,0,2
mcmullen,1,48311,414,7
wilson,1,48493,39,4
zavala,1,48507,327,4
callahan,78,48059,175,1
parker,B,48367,10,1
